Episode,Average Number of steps,Mean Reward
0,0.011,-0.125
1000,10.0,-82.08
2000,10.0,-82.29
3000,10.0,-82.035
4000,10.0,-81.75
5000,10.0,-82.83
6000,10.0,-82.935
7000,10.0,-82.92
8000,10.0,-83.295
9000,10.0,-82.845
10000,10.0,-81.795
11000,10.0,-80.145
12000,10.0,-73.26
13000,10.0,-68.88
14000,10.0,-65.04
15000,10.0,-59.865
16000,10.0,-54.81
17000,10.0,-50.415
18000,10.0,-48.375
19000,10.0,-43.035
20000,10.0,-38.895
21000,10.0,-37.11
22000,10.0,-33.15
23000,10.0,-30.42
24000,10.0,-26.79
25000,10.0,-24.36
26000,10.0,-20.46
27000,10.0,-19.455
28000,10.0,-16.875
29000,10.0,-14.73
30000,10.0,-11.91
31000,10.0,-9.255
32000,10.0,-8.31
33000,10.0,-6.345
34000,10.0,-5.595
35000,10.0,-3.645
36000,10.0,-2.91
37000,10.0,1.14
38000,10.0,0.84
39000,10.0,1.845
40000,10.0,2.94
41000,10.0,4.905
42000,10.0,7.425
43000,10.0,8.205
44000,10.0,8.76
45000,10.0,10.14
46000,10.0,11.13
47000,10.0,11.16
48000,10.0,12.93
49000,10.0,13.2
50000,10.0,15.12
51000,10.0,15.435
52000,10.0,15.54
53000,10.0,16.98
54000,10.0,17.58
55000,10.0,17.475
56000,10.0,18.435
57000,10.0,18.75
58000,10.0,19.53
59000,10.0,20.565
60000,10.0,20.13
61000,10.0,21.645
62000,10.0,21.525
63000,10.0,21.435
64000,10.0,22.305
65000,10.0,23.19
66000,10.0,23.52
67000,10.0,23.385
68000,10.0,23.64
69000,10.0,23.73
70000,10.0,24.57
71000,10.0,24.285
72000,10.0,24.81
73000,10.0,23.865
74000,10.0,25.065
75000,10.0,24.12
76000,10.0,24.345
77000,10.0,24.54
78000,10.0,24.84
79000,10.0,24.735
80000,10.0,24.585
81000,10.0,24.57
82000,10.0,24.57
83000,10.0,24.21
84000,10.0,24.24
85000,10.0,24.57
86000,10.0,24.9
87000,10.0,24.39
88000,10.0,24.63
89000,10.0,24.135
90000,10.0,24.96
91000,10.0,24.165
92000,10.0,24.33
93000,10.0,24.51
94000,10.0,24.615
95000,10.0,24.525
96000,10.0,24.915
97000,10.0,24.12
98000,10.0,24.315
99000,10.0,24.06
100000,10.0,24.54
101000,10.0,24.225
102000,10.0,24.0
103000,10.0,24.165
104000,10.0,24.63
105000,10.0,24.87
106000,10.0,24.57
107000,10.0,24.255
108000,10.0,24.18
109000,10.0,24.18
110000,10.0,24.735
111000,10.0,24.255
112000,10.0,23.52
113000,10.0,24.78
114000,10.0,24.75
115000,10.0,24.795
116000,10.0,24.225
117000,10.0,24.045
118000,10.0,24.6
119000,10.0,24.33
120000,10.0,24.3
121000,10.0,24.63
122000,10.0,24.42
123000,10.0,24.69
124000,10.0,23.685
125000,10.0,24.315
126000,10.0,24.18
127000,10.0,24.285
128000,10.0,24.9
129000,10.0,24.285
130000,10.0,24.945
131000,10.0,24.525
132000,10.0,24.21
133000,10.0,24.45
134000,10.0,24.9
135000,10.0,25.305
136000,10.0,24.465
137000,10.0,24.48
138000,10.0,24.75
139000,10.0,24.015
140000,10.0,24.465
141000,10.0,24.225
142000,10.0,24.33
143000,10.0,24.75
144000,10.0,24.345
145000,10.0,24.78
146000,10.0,24.51
147000,10.0,23.85
148000,10.0,24.315
149000,10.0,24.495
150000,10.0,24.27
