Episode,Average Number of steps,Mean Reward
0,0.008,-0.08
1000,8.0,-50.0
2000,8.0,-49.835
3000,8.0,-50.24
4000,8.0,-50.27
5000,8.0,-50.525
6000,8.0,-50.015
7000,8.0,-49.73
8000,8.0,-50.33
9000,8.0,-49.715
10000,8.0,-49.55
11000,8.0,-48.305
12000,8.0,-43.385
13000,8.0,-39.575
14000,8.0,-35.03
15000,8.0,-31.445
16000,8.0,-29.0
17000,8.0,-25.1
18000,8.0,-23.045
19000,8.0,-18.485
20000,8.0,-16.385
21000,8.0,-14.39
22000,8.0,-12.59
23000,8.0,-8.42
24000,8.0,-5.51
25000,8.0,-3.2
26000,8.0,-2.225
27000,8.0,1.69
28000,8.0,3.4
29000,8.0,3.25
30000,8.0,6.685
31000,8.0,7.63
32000,8.0,9.055
33000,8.0,10.435
34000,8.0,11.68
35000,8.0,12.895
36000,8.0,15.355
37000,8.0,16.69
38000,8.0,16.645
39000,8.0,18.07
40000,8.0,18.925
41000,8.0,20.56
42000,8.0,20.965
43000,8.0,21.595
44000,8.0,23.92
45000,8.0,23.785
46000,8.0,24.775
47000,8.0,25.465
48000,8.0,26.05
49000,8.0,26.77
50000,8.0,27.775
