Episode,Average Number of steps,Mean Reward
0,0.014,-0.055
1000,10.0,-82.695
2000,10.0,-81.435
3000,10.0,-82.98
4000,10.0,-82.815
5000,10.0,-82.23
6000,10.0,-82.635
7000,10.0,-82.14
8000,10.0,-81.39
9000,10.0,-82.695
10000,10.0,-81.57
11000,10.0,-79.005
12000,10.0,-75.285
13000,10.0,-68.4
14000,10.0,-63.66
15000,10.0,-58.17
16000,10.0,-56.355
17000,10.0,-52.065
18000,10.0,-47.04
19000,10.0,-41.145
20000,10.0,-39.72
21000,10.0,-36.48
22000,10.0,-32.67
23000,10.0,-30.825
24000,10.0,-27.195
25000,10.0,-24.33
26000,10.0,-21.945
27000,10.0,-19.44
28000,10.0,-17.16
29000,10.0,-14.295
30000,10.0,-11.76
31000,10.0,-9.69
32000,10.0,-8.82
33000,10.0,-6.78
34000,10.0,-5.13
35000,10.0,-2.94
36000,10.0,-1.755
37000,10.0,0.045
38000,10.0,1.86
39000,10.0,2.76
40000,10.0,4.29
41000,10.0,5.34
42000,10.0,6.105
43000,10.0,7.035
44000,10.0,9.03
45000,10.0,9.54
46000,10.0,11.115
47000,10.0,12.525
48000,10.0,12.225
49000,10.0,12.645
50000,10.0,13.395
51000,10.0,15.195
52000,10.0,15.345
53000,10.0,16.905
54000,10.0,17.61
55000,10.0,17.385
56000,10.0,17.475
57000,10.0,19.005
58000,10.0,19.425
59000,10.0,19.92
60000,10.0,20.34
61000,10.0,21.345
62000,10.0,21.69
63000,10.0,21.96
64000,10.0,22.11
65000,10.0,22.515
66000,10.0,22.77
67000,10.0,23.445
68000,10.0,23.235
69000,10.0,24.135
70000,10.0,23.88
71000,10.0,24.585
72000,10.0,24.75
73000,10.0,24.03
74000,10.0,24.66
75000,10.0,24.45
