Episode: 66000, Average Number of steps: 14.0, Mean Reward: 59.95,,,60000,56.47
Episode: 67000, Average Number of steps: 14.0, Mean Reward: 60.805,,,61000,57.595
Episode: 68000, Average Number of steps: 14.0, Mean Reward: 60.79,,,62000,58.06
Episode: 69000, Average Number of steps: 14.0, Mean Reward: 61.285,,,63000,57.85
Episode: 70000, Average Number of steps: 14.0, Mean Reward: 61.27,,,64000,58.585
Episode: 71000, Average Number of steps: 14.0, Mean Reward: 61.585,,,65000,59.65
Episode: 72000, Average Number of steps: 14.0, Mean Reward: 62.035,,,66000,59.95
Episode: 73000, Average Number of steps: 14.0, Mean Reward: 62.005,,,67000,60.805
Episode: 74000, Average Number of steps: 14.0, Mean Reward: 62.725,,,68000,60.79
Episode: 75000, Average Number of steps: 14.0, Mean Reward: 61.96,,,69000,61.285
Episode: 76000, Average Number of steps: 14.0, Mean Reward: 61.795,,,70000,61.27
Episode: 77000, Average Number of steps: 14.0, Mean Reward: 61.795,,,71000,61.585
Episode: 78000, Average Number of steps: 14.0, Mean Reward: 62.155,,,72000,62.035
Episode: 79000, Average Number of steps: 14.0, Mean Reward: 62.305,,,73000,62.005
Episode: 80000, Average Number of steps: 14.0, Mean Reward: 62.2,,,74000,62.725
Episode: 81000, Average Number of steps: 14.0, Mean Reward: 61.6,,,75000,61.96
Episode: 82000, Average Number of steps: 14.0, Mean Reward: 62.395,,,76000,61.795
Episode: 83000, Average Number of steps: 14.0, Mean Reward: 61.585,,,77000,61.795
Episode: 84000, Average Number of steps: 14.0, Mean Reward: 62.065,,,78000,62.155
Episode: 85000, Average Number of steps: 14.0, Mean Reward: 61.705,,,79000,62.305
Episode: 86000, Average Number of steps: 14.0, Mean Reward: 62.335,,,80000,62.2
Episode: 87000, Average Number of steps: 14.0, Mean Reward: 61.78,,,81000,61.6
Episode: 88000, Average Number of steps: 14.0, Mean Reward: 61.72,,,82000,62.395
Episode: 89000, Average Number of steps: 14.0, Mean Reward: 62.26,,,83000,61.585
Episode: 90000, Average Number of steps: 14.0, Mean Reward: 62.455,,,84000,62.065
Episode: 91000, Average Number of steps: 14.0, Mean Reward: 62.38,,,85000,61.705
Episode: 92000, Average Number of steps: 14.0, Mean Reward: 62.065,,,86000,62.335
Episode: 93000, Average Number of steps: 14.0, Mean Reward: 62.215,,,87000,61.78
Episode: 94000, Average Number of steps: 14.0, Mean Reward: 62.245,,,88000,61.72
Episode: 95000, Average Number of steps: 14.0, Mean Reward: 61.675,,,89000,62.26
Episode: 96000, Average Number of steps: 14.0, Mean Reward: 62.095,,,90000,62.455
Episode: 97000, Average Number of steps: 14.0, Mean Reward: 62.425,,,91000,62.38
Episode: 98000, Average Number of steps: 14.0, Mean Reward: 62.26,,,92000,62.065
Episode: 99000, Average Number of steps: 14.0, Mean Reward: 62.095,,,93000,62.215
Episode: 100000, Average Number of steps: 14.0, Mean Reward: 61.6,,,94000,62.245
Episode: 101000, Average Number of steps: 14.0, Mean Reward: 62.095,,,95000,61.675
Episode: 102000, Average Number of steps: 14.0, Mean Reward: 62.515,,,96000,62.095
Episode: 103000, Average Number of steps: 14.0, Mean Reward: 61.93,,,97000,62.425
Episode: 104000, Average Number of steps: 14.0, Mean Reward: 61.48,,,98000,62.26
Episode: 105000, Average Number of steps: 14.0, Mean Reward: 61.495,,,99000,62.095
Episode: 106000, Average Number of steps: 14.0, Mean Reward: 61.225,,,100000,61.6
Episode: 107000, Average Number of steps: 14.0, Mean Reward: 62.095,,,101000,62.095
Episode: 108000, Average Number of steps: 14.0, Mean Reward: 62.245,,,102000,62.515
