Episode,Average Number of steps,Mean Reward
0,0.01,-0.075
1000,10.0,-82.26
2000,10.0,-81.3
3000,10.0,-82.635
4000,10.0,-82.965
5000,10.0,-82.875
6000,10.0,-83.37
7000,10.0,-82.395
8000,10.0,-83.235
9000,10.0,-82.095
10000,10.0,-82.275
11000,10.0,-80.685
12000,10.0,-73.41
13000,10.0,-70.23
14000,10.0,-64.395
15000,10.0,-60.51
16000,10.0,-54.93
17000,10.0,-51.105
18000,10.0,-47.7
19000,10.0,-43.38
20000,10.0,-40.44
21000,10.0,-36.615
22000,10.0,-34.56
23000,10.0,-30.03
24000,10.0,-28.83
25000,10.0,-24.33
26000,10.0,-22.11
27000,10.0,-19.02
28000,10.0,-17.04
29000,10.0,-15.375
30000,10.0,-12.915
31000,10.0,-9.855
32000,10.0,-8.145
33000,10.0,-6.48
34000,10.0,-4.395
35000,10.0,-3.465
36000,10.0,-1.11
37000,10.0,-0.27
38000,10.0,1.83
39000,10.0,2.4
40000,10.0,4.2
41000,10.0,5.565
42000,10.0,7.035
43000,10.0,7.785
44000,10.0,9.255
45000,10.0,9.435
46000,10.0,10.35
47000,10.0,11.73
48000,10.0,12.84
49000,10.0,14.1
50000,10.0,14.34
51000,10.0,15.24
52000,10.0,16.155
53000,10.0,16.2
54000,10.0,16.92
55000,10.0,17.85
56000,10.0,19.005
57000,10.0,18.66
58000,10.0,19.575
59000,10.0,19.59
60000,10.0,20.895
61000,10.0,20.94
62000,10.0,21.96
63000,10.0,21.39
64000,10.0,21.975
65000,10.0,22.425
66000,10.0,23.145
67000,10.0,23.085
68000,10.0,23.58
69000,10.0,23.835
70000,10.0,23.955
71000,10.0,24.36
72000,10.0,24.33
73000,10.0,24.87
74000,10.0,24.18
75000,10.0,24.24
