Episode,Average Number of steps,Mean Reward
0,0.01,-0.09
1000,14.0,-87.14
2000,14.0,-87.575
3000,14.0,-88.52
4000,14.0,-87.83
5000,14.0,-87.215
6000,14.0,-86.27
7000,14.0,-87.155
8000,14.0,-86.585
9000,14.0,-88.595
10000,14.0,-87.14
11000,14.0,-84.035
12000,14.0,-76.235
13000,14.0,-70.085
14000,14.0,-62.585
15000,14.0,-56.81
16000,14.0,-49.235
17000,14.0,-44.15
18000,14.0,-37.805
19000,14.0,-32.9
20000,14.0,-27.815
21000,14.0,-25.01
22000,14.0,-18.5
23000,14.0,-14.63
24000,14.0,-11.285
25000,14.0,-5.195
26000,14.0,-2.87
27000,14.0,0.685
28000,14.0,3.565
29000,14.0,8.17
30000,14.0,10.105
31000,14.0,13.96
32000,14.0,15.7
33000,14.0,20.41
34000,14.0,21.01
35000,14.0,24.775
36000,14.0,26.335
37000,14.0,27.655
38000,14.0,30.265
39000,14.0,31.42
40000,14.0,34.21
41000,14.0,34.105
42000,14.0,37.735
43000,14.0,38.155
44000,14.0,40.24
45000,14.0,42.475
46000,14.0,42.52
47000,14.0,44.08
48000,14.0,45.07
49000,14.0,46.435
50000,14.0,47.995
51000,14.0,49.39
52000,14.0,49.705
53000,14.0,51.475
54000,14.0,52.33
55000,14.0,52.885
56000,14.0,53.35
57000,14.0,54.61
58000,14.0,55.255
59000,14.0,56.44
60000,14.0,56.32
61000,14.0,57.4
62000,14.0,58.36
63000,14.0,58.255
64000,14.0,59.335
65000,14.0,59.83
66000,14.0,60.055
67000,14.0,61.06
68000,14.0,61.405
69000,14.0,60.97
70000,14.0,62.905
71000,14.0,61.675
72000,14.0,62.005
73000,14.0,62.425
74000,14.0,61.84
75000,14.0,62.23
