Episode,Average Number of steps,Mean Reward
0,0.01,-0.11
1000,10.0,-82.845
2000,10.0,-82.905
3000,10.0,-82.5
4000,10.0,-82.08
5000,10.0,-82.035
6000,10.0,-81.78
7000,10.0,-81.525
8000,10.0,-82.77
9000,10.0,-82.065
10000,10.0,-83.43
11000,10.0,-79.05
12000,10.0,-73.38
13000,10.0,-69.285
14000,10.0,-65.685
15000,10.0,-59.85
16000,10.0,-56.175
17000,10.0,-51.9
18000,10.0,-47.31
19000,10.0,-42.75
20000,10.0,-39.915
21000,10.0,-35.91
22000,10.0,-32.955
23000,10.0,-29.91
24000,10.0,-27.735
25000,10.0,-25.635
26000,10.0,-22.005
27000,10.0,-19.23
28000,10.0,-17.4
29000,10.0,-14.22
30000,10.0,-11.805
31000,10.0,-10.95
32000,10.0,-8.1
33000,10.0,-6.81
34000,10.0,-5.46
35000,10.0,-3.435
36000,10.0,-1.77
37000,10.0,-0.015
38000,10.0,1.695
39000,10.0,3.195
40000,10.0,4.26
41000,10.0,5.325
42000,10.0,6.66
43000,10.0,8.04
44000,10.0,8.28
45000,10.0,9.855
46000,10.0,10.5
47000,10.0,12.12
48000,10.0,13.98
49000,10.0,13.635
50000,10.0,13.47
51000,10.0,14.895
52000,10.0,16.35
53000,10.0,16.515
54000,10.0,16.635
55000,10.0,17.055
56000,10.0,18.915
57000,10.0,19.185
58000,10.0,19.83
59000,10.0,20.415
60000,10.0,20.91
61000,10.0,21.39
62000,10.0,21.765
63000,10.0,22.185
64000,10.0,22.275
65000,10.0,22.365
66000,10.0,22.845
67000,10.0,23.625
68000,10.0,23.04
69000,10.0,24.165
70000,10.0,24.57
71000,10.0,24.51
72000,10.0,24.015
73000,10.0,24.03
74000,10.0,24.255
75000,10.0,24.705
