Episode,Average Number of steps,Mean Reward
0,0.008,-0.095
1000,9.0,-80.53
2000,9.0,-81.22
3000,9.0,-81.22
4000,9.0,-81.175
5000,9.0,-80.71
6000,9.0,-81.595
7000,9.0,-80.755
8000,9.0,-81.775
9000,9.0,-80.53
10000,9.0,-81.625
11000,9.0,-78.76
12000,9.0,-74.56
13000,9.0,-68.965
14000,9.0,-64.165
15000,9.0,-61.57
16000,9.0,-57.385
17000,9.0,-52.975
18000,9.0,-48.775
19000,9.0,-47.905
20000,9.0,-41.995
21000,9.0,-40.42
22000,9.0,-36.475
23000,9.0,-33.445
24000,9.0,-30.475
25000,9.0,-28.765
26000,9.0,-27.58
27000,9.0,-23.8
28000,9.0,-22.585
29000,9.0,-20.62
30000,9.0,-19.18
31000,9.0,-16.39
32000,9.0,-14.86
33000,9.0,-13.21
34000,9.0,-11.185
35000,9.0,-9.025
36000,9.0,-8.08
37000,9.0,-6.67
38000,9.0,-5.725
39000,9.0,-5.425
40000,9.0,-3.085
41000,9.0,-1.795
42000,9.0,-0.385
43000,9.0,0.26
44000,9.0,0.965
45000,9.0,1.685
46000,9.0,2.93
47000,9.0,3.86
48000,9.0,4.685
49000,9.0,5.81
50000,9.0,6.425
51000,9.0,6.23
52000,9.0,7.34
53000,9.0,7.58
54000,9.0,8.63
55000,9.0,8.435
56000,9.0,9.32
57000,9.0,9.515
58000,9.0,10.49
59000,9.0,10.82
60000,9.0,11.405
61000,9.0,11.9
62000,9.0,12.2
63000,9.0,12.695
64000,9.0,12.29
65000,9.0,13.4
66000,9.0,14.105
67000,9.0,14.705
68000,9.0,14.3
69000,9.0,14.84
70000,9.0,14.825
71000,9.0,15.08
72000,9.0,15.32
73000,9.0,14.615
74000,9.0,14.96
75000,9.0,14.765
76000,9.0,14.435
77000,9.0,14.915
78000,9.0,14.825
79000,9.0,15.305
80000,9.0,14.72
81000,9.0,15.56
82000,9.0,14.81
83000,9.0,15.215
84000,9.0,15.23
85000,9.0,14.69
86000,9.0,15.56
87000,9.0,14.585
88000,9.0,14.99
89000,9.0,14.78
90000,9.0,14.81
91000,9.0,14.9
92000,9.0,14.945
93000,9.0,14.78
94000,9.0,15.335
95000,9.0,15.035
96000,9.0,14.84
97000,9.0,15.215
98000,9.0,15.095
99000,9.0,15.26
100000,9.0,14.84
101000,9.0,15.29
102000,9.0,14.72
103000,9.0,15.35
104000,9.0,14.885
105000,9.0,14.69
106000,9.0,14.885
107000,9.0,15.335
108000,9.0,14.99
109000,9.0,14.675
110000,9.0,14.66
111000,9.0,15.2
112000,9.0,14.945
113000,9.0,14.9
114000,9.0,14.81
115000,9.0,15.005
116000,9.0,15.275
117000,9.0,14.735
118000,9.0,14.69
119000,9.0,14.735
120000,9.0,15.2
121000,9.0,15.08
122000,9.0,15.23
123000,9.0,14.66
124000,9.0,14.87
125000,9.0,15.14
126000,9.0,15.125
127000,9.0,14.51
128000,9.0,14.78
129000,9.0,15.17
130000,9.0,14.27
131000,9.0,15.065
132000,9.0,14.975
133000,9.0,14.705
134000,9.0,14.825
135000,9.0,14.78
136000,9.0,15.29
137000,9.0,14.87
138000,9.0,15.065
139000,9.0,14.705
140000,9.0,14.675
141000,9.0,14.975
142000,9.0,14.735
143000,9.0,15.005
144000,9.0,14.585
145000,9.0,15.095
146000,9.0,14.42
147000,9.0,14.765
148000,9.0,14.945
149000,9.0,14.96
150000,9.0,14.885
