Episode: 63000, Average Number of steps: 14.0, Mean Reward: 59.005,,,,,57000,54.91
Episode: 64000, Average Number of steps: 14.0, Mean Reward: 58.795,,,,,58000,55.435
Episode: 65000, Average Number of steps: 14.0, Mean Reward: 59.365,,,,,59000,55.855
Episode: 66000, Average Number of steps: 14.0, Mean Reward: 60.1,,,,,60000,56.77
Episode: 67000, Average Number of steps: 14.0, Mean Reward: 61.105,,,,,61000,57.505
Episode: 68000, Average Number of steps: 14.0, Mean Reward: 60.865,,,,,62000,57.775
Episode: 69000, Average Number of steps: 14.0, Mean Reward: 61.48,,,,,63000,59.005
Episode: 70000, Average Number of steps: 14.0, Mean Reward: 62.23,,,,,64000,58.795
Episode: 71000, Average Number of steps: 14.0, Mean Reward: 61.825,,,,,65000,59.365
Episode: 72000, Average Number of steps: 14.0, Mean Reward: 62.32,,,,,66000,60.1
Episode: 73000, Average Number of steps: 14.0, Mean Reward: 61.24,,,,,67000,61.105
Episode: 74000, Average Number of steps: 14.0, Mean Reward: 62.185,,,,,68000,60.865
Episode: 75000, Average Number of steps: 14.0, Mean Reward: 61.975,,,,,69000,61.48
Episode: 76000, Average Number of steps: 14.0, Mean Reward: 62.29,,,,,70000,62.23
Episode: 77000, Average Number of steps: 14.0, Mean Reward: 62.155,,,,,71000,61.825
Episode: 78000, Average Number of steps: 14.0, Mean Reward: 61.705,,,,,72000,62.32
Episode: 79000, Average Number of steps: 14.0, Mean Reward: 62.38,,,,,73000,61.24
Episode: 80000, Average Number of steps: 14.0, Mean Reward: 62.305,,,,,74000,62.185
Episode: 81000, Average Number of steps: 14.0, Mean Reward: 62.11,,,,,75000,61.975
Episode: 82000, Average Number of steps: 14.0, Mean Reward: 62.26,,,,,76000,62.29
Episode: 83000, Average Number of steps: 14.0, Mean Reward: 61.75,,,,,77000,62.155
Episode: 84000, Average Number of steps: 14.0, Mean Reward: 61.33,,,,,78000,61.705
Episode: 85000, Average Number of steps: 14.0, Mean Reward: 62.305,,,,,79000,62.38
Episode: 86000, Average Number of steps: 14.0, Mean Reward: 61.81,,,,,80000,62.305
Episode: 87000, Average Number of steps: 14.0, Mean Reward: 62.35,,,,,81000,62.11
Episode: 88000, Average Number of steps: 14.0, Mean Reward: 62.155,,,,,82000,62.26
Episode: 89000, Average Number of steps: 14.0, Mean Reward: 61.735,,,,,83000,61.75
Episode: 90000, Average Number of steps: 14.0, Mean Reward: 62.275,,,,,84000,61.33
Episode: 91000, Average Number of steps: 14.0, Mean Reward: 62.14,,,,,85000,62.305
Episode: 92000, Average Number of steps: 14.0, Mean Reward: 62.02,,,,,86000,61.81
Episode: 93000, Average Number of steps: 14.0, Mean Reward: 62.245,,,,,87000,62.35
Episode: 94000, Average Number of steps: 14.0, Mean Reward: 61.825,,,,,88000,62.155
Episode: 95000, Average Number of steps: 14.0, Mean Reward: 61.885,,,,,89000,61.735
Episode: 96000, Average Number of steps: 14.0, Mean Reward: 62.245,,,,,90000,62.275
Episode: 97000, Average Number of steps: 14.0, Mean Reward: 63.025,,,,,91000,62.14
Episode: 98000, Average Number of steps: 14.0, Mean Reward: 62.14,,,,,92000,62.02
Episode: 99000, Average Number of steps: 14.0, Mean Reward: 62.38,,,,,93000,62.245
Episode: 100000, Average Number of steps: 14.0, Mean Reward: 62.11,,,,,94000,61.825
Episode: 101000, Average Number of steps: 14.0, Mean Reward: 62.575,,,,,95000,61.885
Episode: 102000, Average Number of steps: 14.0, Mean Reward: 62.125,,,,,96000,62.245
Episode: 103000, Average Number of steps: 14.0, Mean Reward: 62.365,,,,,97000,63.025
Episode: 104000, Average Number of steps: 14.0, Mean Reward: 62.44,,,,,98000,62.14
Episode: 105000, Average Number of steps: 14.0, Mean Reward: 61.975,,,,,99000,62.38
Episode: 106000, Average Number of steps: 14.0, Mean Reward: 62.155,,,,,100000,62.11
Episode: 107000, Average Number of steps: 14.0, Mean Reward: 61.555,,,,,101000,62.575
Episode: 108000, Average Number of steps: 14.0, Mean Reward: 62.785,,,,,102000,62.125
Episode: 109000, Average Number of steps: 14.0, Mean Reward: 62.2,,,,,103000,62.365
