Episode,Average Number of steps,Mean Reward
0,0.01,-0.09
1000,14.0,-87.905
2000,14.0,-87.71
3000,14.0,-87.395
4000,14.0,-88.25
5000,14.0,-86.885
6000,14.0,-88.265
7000,14.0,-87.86
8000,14.0,-88.85
9000,14.0,-86.69
10000,14.0,-86.81
11000,14.0,-83.24
12000,14.0,-76.235
13000,14.0,-68.795
14000,14.0,-63.89
15000,14.0,-55.175
16000,14.0,-49.85
17000,14.0,-44.51
18000,14.0,-36.83
19000,14.0,-31.625
20000,14.0,-28.94
21000,14.0,-22.325
22000,14.0,-18.56
23000,14.0,-14.915
24000,14.0,-9.605
25000,14.0,-6.29
26000,14.0,-2.525
27000,14.0,0.43
28000,14.0,4.195
29000,14.0,6.58
30000,14.0,11.065
31000,14.0,12.1
32000,14.0,16.81
33000,14.0,19.435
34000,14.0,21.49
35000,14.0,23.2
36000,14.0,25.525
37000,14.0,28.645
38000,14.0,30.7
39000,14.0,32.665
40000,14.0,34.855
41000,14.0,34.57
42000,14.0,37.36
43000,14.0,38.05
44000,14.0,41.455
45000,14.0,42.04
46000,14.0,43.24
47000,14.0,44.425
48000,14.0,46.54
49000,14.0,46.93
50000,14.0,48.265
51000,14.0,49.045
52000,14.0,50.14
53000,14.0,51.625
54000,14.0,52.885
55000,14.0,52.735
56000,14.0,54.76
57000,14.0,54.64
58000,14.0,55.765
59000,14.0,56.395
60000,14.0,57.235
61000,14.0,57.715
62000,14.0,57.355
63000,14.0,58.54
64000,14.0,59.125
65000,14.0,59.89
66000,14.0,60.34
67000,14.0,60.97
68000,14.0,60.64
69000,14.0,62.095
70000,14.0,61.915
71000,14.0,61.66
72000,14.0,62.23
73000,14.0,61.585
74000,14.0,62.215
75000,14.0,61.45
76000,14.0,61.495
77000,14.0,61.345
78000,14.0,62.875
79000,14.0,62.47
80000,14.0,62.23
