Episode,Average Number of steps,Mean Reward
0,0.008,-0.115
1000,9.0,-81.085
2000,9.0,-80.8
3000,9.0,-81.385
4000,9.0,-80.785
5000,9.0,-82.03
6000,9.0,-81.565
7000,9.0,-80.83
8000,9.0,-82.525
9000,9.0,-81.13
10000,9.0,-81.565
11000,9.0,-78.865
12000,9.0,-74.2
13000,9.0,-69.145
14000,9.0,-65.335
15000,9.0,-60.28
16000,9.0,-57.115
17000,9.0,-52.285
18000,9.0,-49.09
19000,9.0,-45.505
20000,9.0,-43.42
21000,9.0,-40.765
22000,9.0,-36.49
23000,9.0,-34.09
24000,9.0,-32.56
25000,9.0,-30.52
26000,9.0,-28.0
27000,9.0,-24.595
28000,9.0,-23.17
29000,9.0,-20.08
30000,9.0,-19.105
31000,9.0,-17.245
32000,9.0,-15.22
33000,9.0,-14.005
34000,9.0,-11.68
35000,9.0,-9.505
36000,9.0,-8.8
37000,9.0,-6.535
38000,9.0,-6.385
39000,9.0,-3.94
40000,9.0,-2.98
41000,9.0,-1.99
42000,9.0,-1.765
43000,9.0,0.245
44000,9.0,0.455
45000,9.0,2.75
46000,9.0,3.035
47000,9.0,3.56
48000,9.0,4.64
49000,9.0,4.43
50000,9.0,5.87
51000,9.0,7.25
52000,9.0,7.46
53000,9.0,8.51
54000,9.0,9.59
55000,9.0,9.425
56000,9.0,9.44
57000,9.0,9.845
58000,9.0,11.105
59000,9.0,10.835
60000,9.0,11.57
61000,9.0,11.9
62000,9.0,12.56
63000,9.0,12.65
64000,9.0,12.905
65000,9.0,13.25
66000,9.0,13.505
67000,9.0,14.33
68000,9.0,13.985
69000,9.0,14.735
70000,9.0,14.765
71000,9.0,15.725
72000,9.0,15.275
73000,9.0,14.825
74000,9.0,14.705
75000,9.0,15.455
