Episode,Average Number of steps,Mean Reward
0,0.01,-0.085
1000,10.0,-82.35
2000,10.0,-82.425
3000,10.0,-83.145
4000,10.0,-82.935
5000,10.0,-83.31
6000,10.0,-84.18
7000,10.0,-82.185
8000,10.0,-82.875
9000,10.0,-81.885
10000,10.0,-82.08
11000,10.0,-79.755
12000,10.0,-75.615
13000,10.0,-69.66
14000,10.0,-65.655
15000,10.0,-60.6
16000,10.0,-55.875
17000,10.0,-51.735
18000,10.0,-48.3
19000,10.0,-43.755
20000,10.0,-39.795
21000,10.0,-36.03
22000,10.0,-33.33
23000,10.0,-30.12
24000,10.0,-27.735
25000,10.0,-24.57
26000,10.0,-21.105
27000,10.0,-19.74
28000,10.0,-17.34
29000,10.0,-14.34
30000,10.0,-12.495
31000,10.0,-10.185
32000,10.0,-7.86
33000,10.0,-6.36
34000,10.0,-4.02
35000,10.0,-3.42
36000,10.0,-0.885
37000,10.0,-0.39
38000,10.0,2.235
39000,10.0,3.0
40000,10.0,4.185
41000,10.0,5.685
42000,10.0,7.41
43000,10.0,8.685
44000,10.0,8.58
45000,10.0,9.945
46000,10.0,11.28
47000,10.0,11.76
48000,10.0,12.66
49000,10.0,13.155
50000,10.0,14.685
51000,10.0,15.51
52000,10.0,15.75
53000,10.0,16.32
54000,10.0,17.4
55000,10.0,17.775
56000,10.0,18.03
57000,10.0,18.54
58000,10.0,20.205
59000,10.0,20.145
60000,10.0,20.565
61000,10.0,21.33
62000,10.0,21.9
63000,10.0,21.675
64000,10.0,21.87
65000,10.0,22.395
66000,10.0,22.845
67000,10.0,23.295
68000,10.0,23.415
69000,10.0,23.925
70000,10.0,24.33
71000,10.0,25.095
72000,10.0,23.445
73000,10.0,24.255
74000,10.0,24.15
75000,10.0,24.39
76000,10.0,24.66
77000,10.0,24.48
78000,10.0,24.15
79000,10.0,24.105
80000,10.0,24.33
81000,10.0,24.84
82000,10.0,24.525
83000,10.0,24.66
84000,10.0,23.94
85000,10.0,24.24
86000,10.0,25.125
87000,10.0,24.09
88000,10.0,24.24
89000,10.0,24.165
90000,10.0,23.805
91000,10.0,24.315
92000,10.0,24.345
93000,10.0,24.255
94000,10.0,24.435
95000,10.0,24.51
96000,10.0,24.36
97000,10.0,24.45
98000,10.0,24.465
99000,10.0,23.715
100000,10.0,24.03
