Episode,Average Number of steps,Mean Reward
0,0.011,-0.13
1000,10.0,-82.47
2000,10.0,-82.44
3000,10.0,-82.575
4000,10.0,-82.83
5000,10.0,-82.32
6000,10.0,-82.935
7000,10.0,-83.625
8000,10.0,-82.245
9000,10.0,-83.055
10000,10.0,-82.785
11000,10.0,-80.7
12000,10.0,-74.82
13000,10.0,-69.75
14000,10.0,-64.395
15000,10.0,-60.39
16000,10.0,-55.86
17000,10.0,-51.09
18000,10.0,-48.45
19000,10.0,-44.49
20000,10.0,-40.515
21000,10.0,-35.79
22000,10.0,-31.785
23000,10.0,-30.57
24000,10.0,-26.49
25000,10.0,-25.005
26000,10.0,-21.63
27000,10.0,-19.395
28000,10.0,-17.325
29000,10.0,-13.47
30000,10.0,-11.07
31000,10.0,-10.62
32000,10.0,-9.75
33000,10.0,-6.69
34000,10.0,-4.365
35000,10.0,-2.91
36000,10.0,-0.51
37000,10.0,-0.045
38000,10.0,2.505
39000,10.0,3.09
40000,10.0,4.02
41000,10.0,5.715
42000,10.0,6.855
43000,10.0,8.475
44000,10.0,9.66
45000,10.0,10.44
46000,10.0,11.055
47000,10.0,12.045
48000,10.0,13.35
49000,10.0,13.29
50000,10.0,14.49
51000,10.0,15.42
52000,10.0,15.405
53000,10.0,17.19
54000,10.0,17.64
55000,10.0,18.03
56000,10.0,18.72
57000,10.0,18.84
58000,10.0,19.14
59000,10.0,20.07
60000,10.0,20.22
61000,10.0,21.51
62000,10.0,21.675
63000,10.0,21.93
64000,10.0,22.35
65000,10.0,21.87
66000,10.0,22.92
67000,10.0,22.92
68000,10.0,23.52
69000,10.0,24.42
70000,10.0,24.555
71000,10.0,24.345
72000,10.0,24.255
73000,10.0,24.195
74000,10.0,24.795
75000,10.0,24.45
76000,10.0,24.51
77000,10.0,24.72
78000,10.0,24.525
79000,10.0,24.285
80000,10.0,24.255
81000,10.0,24.555
82000,10.0,24.63
83000,10.0,24.285
84000,10.0,24.36
85000,10.0,24.555
86000,10.0,23.835
87000,10.0,24.585
88000,10.0,23.775
89000,10.0,24.645
90000,10.0,24.57
91000,10.0,24.57
92000,10.0,24.315
93000,10.0,24.21
94000,10.0,24.195
95000,10.0,24.225
96000,10.0,24.03
97000,10.0,24.075
98000,10.0,24.585
99000,10.0,24.57
100000,10.0,24.615
101000,10.0,24.15
102000,10.0,24.855
103000,10.0,23.955
104000,10.0,24.33
105000,10.0,23.73
106000,10.0,24.645
107000,10.0,24.525
108000,10.0,24.3
109000,10.0,24.27
110000,10.0,24.675
111000,10.0,24.465
112000,10.0,24.6
113000,10.0,24.6
114000,10.0,23.805
115000,10.0,24.855
116000,10.0,24.03
117000,10.0,24.285
118000,10.0,24.99
119000,10.0,24.72
120000,10.0,24.33
121000,10.0,24.21
122000,10.0,24.6
123000,10.0,24.075
124000,10.0,24.555
125000,10.0,24.645
126000,10.0,24.465
127000,10.0,24.21
128000,10.0,24.315
129000,10.0,24.09
130000,10.0,24.33
131000,10.0,24.96
132000,10.0,24.45
133000,10.0,24.48
134000,10.0,24.525
135000,10.0,24.18
136000,10.0,24.225
137000,10.0,23.925
138000,10.0,24.84
139000,10.0,24.585
140000,10.0,24.54
141000,10.0,24.21
142000,10.0,24.42
143000,10.0,24.285
144000,10.0,24.33
145000,10.0,24.27
146000,10.0,24.18
147000,10.0,24.375
148000,10.0,24.105
149000,10.0,24.45
150000,10.0,24.42
151000,10.0,23.325
152000,10.0,24.6
153000,10.0,24.03
154000,10.0,24.39
155000,10.0,24.405
156000,10.0,24.195
157000,10.0,24.33
158000,10.0,23.565
159000,10.0,24.69
160000,10.0,24.465
161000,10.0,24.72
162000,10.0,24.81
163000,10.0,24.15
164000,10.0,24.945
165000,10.0,24.105
166000,10.0,24.3
167000,10.0,24.12
168000,10.0,24.09
169000,10.0,24.93
170000,10.0,24.51
171000,10.0,24.555
172000,10.0,24.57
173000,10.0,24.18
174000,10.0,24.39
175000,10.0,24.495
176000,10.0,24.945
177000,10.0,24.93
178000,10.0,25.125
179000,10.0,24.81
180000,10.0,24.375
