Episode,Average Number of steps,Mean Reward
0,0.008,-0.08
1000,8.0,-49.07
2000,8.0,-49.895
3000,8.0,-48.89
4000,8.0,-50.015
5000,8.0,-49.595
6000,8.0,-50.345
7000,8.0,-50.24
8000,8.0,-49.58
9000,8.0,-50.195
10000,8.0,-49.91
11000,8.0,-47.42
12000,8.0,-44.24
13000,8.0,-39.785
14000,8.0,-35.93
15000,8.0,-32.0
16000,8.0,-27.74
17000,8.0,-24.08
18000,8.0,-21.74
19000,8.0,-18.725
20000,8.0,-16.145
21000,8.0,-12.815
22000,8.0,-11.585
23000,8.0,-6.95
24000,8.0,-6.545
25000,8.0,-4.25
26000,8.0,-1.235
27000,8.0,0.265
28000,8.0,2.5
29000,8.0,4.585
30000,8.0,6.415
31000,8.0,8.215
32000,8.0,8.365
33000,8.0,11.5
34000,8.0,12.505
35000,8.0,13.6
36000,8.0,14.08
37000,8.0,16.06
38000,8.0,16.87
39000,8.0,17.965
40000,8.0,19.075
41000,8.0,20.725
42000,8.0,21.745
43000,8.0,22.135
44000,8.0,22.9
45000,8.0,24.55
46000,8.0,24.94
47000,8.0,25.21
48000,8.0,25.45
49000,8.0,26.83
50000,8.0,26.935
51000,8.0,28.15
52000,8.0,27.985
53000,8.0,28.78
54000,8.0,29.665
55000,8.0,30.145
56000,8.0,30.445
57000,8.0,30.865
58000,8.0,31.48
59000,8.0,32.425
60000,8.0,32.29
61000,8.0,32.335
62000,8.0,33.415
63000,8.0,33.82
64000,8.0,33.82
65000,8.0,34.195
66000,8.0,34.255
67000,8.0,34.99
68000,8.0,35.14
69000,8.0,35.38
70000,8.0,35.47
71000,8.0,35.665
72000,8.0,35.365
73000,8.0,35.455
74000,8.0,35.05
75000,8.0,35.755
